business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
k2w1yadyMUF0NKRjx23oGQ,Montecito Bank & Trust,6900 Hollister Ave,Goleta,AZ,93117,34.4304879,-119.870094,4.0,7,1,"Financial Services, Banks & Credit Unions"
TgrWD2h-dMFgSEl6In3dyQ,Td Banknorth Na,357 N Kings Hwy,Cherry Hill,TN,08034,39.9291926,-74.992723,1.5,6,1,"Banks & Credit Unions, Financial Services"
y4Aw_TAox_6RPgE_x_TK1g,Pyramid Federal Credit Union,4491 N Oracle Rd,Tucson,IN,85705,32.287821,-110.979124,2.5,5,1,"Banks & Credit Unions, Financial Services"
T2Lsvx4pdHKUsy5FA45VuQ,Bank of America Financial Center,13080 Race Track Rd,Tampa,PA,33626,28.070402005,-82.6321756,3.0,5,1,"Banks & Credit Unions, Financial Services, Home Services, Real Estate, Mortgage Brokers"
oi5pA2QbC7An6uLuLMuVMw,Wells Fargo Bank,1501 Chestnut St,Philadelphia,CA,19102,39.951199,-75.1658377,4.0,6,1,"Banks & Credit Unions, Financial Services"
dVyTg965DmxvRRd_zImzbg,Bank of the West,3175 N Swan Rd,Tucson,FL,85712,32.2648616,-110.8929645,2.0,6,1,"Financial Services, Banks & Credit Unions"
06r1RV5YgiMyVopdR3ubYw,CIBC,4230 Gateway Boulevard NW,Edmonton,MO,T6J 7K1,53.4792189207,-113.493154408,3.5,8,1,"Banks & Credit Unions, Financial Services"
EaW9a8K_CTAiEP2EEFdUfA,Heritage Bank of Nevada,47 Damonte Ranch Pkwy,Reno,FL,89521,39.4198358,-119.7555809,2.5,12,1,"Real Estate, Banks & Credit Unions, Mortgage Brokers, Financial Services, Home Services"
wbbXIXBuKKvNGxhcW074YA,Bank of America Financial Center,2650 Oddie Blvd,Sparks,PA,89431,39.546039041,-119.780437,2.0,7,1,"Banks & Credit Unions, Financial Services, Home Services, Mortgage Brokers, Real Estate"
vlS9q-fRhExWy1yt6xJz0w,Bank of America Financial Center,405 Fayette St,Conshohocken,AZ,19428,40.076523059,-75.303351144,2.0,5,1,"Financial Services, Banks & Credit Unions"
E13foSRTUHkayJ41JDtHzA,Commerce Bank,1101 1st Capitol Dr,Saint Charles,PA,63301,38.7838974,-90.4966005,1.5,10,1,"Banks & Credit Unions, Real Estate, Mortgage Brokers, Financial Services, Home Services, Investing"
XWbZBfrf6-124Y1J2aFqIg,Wells Fargo Bank,1260 W Prince Rd,Tucson,PA,85705,32.2724466,-110.9923359,2.5,7,1,"Financial Services, Banks & Credit Unions"
dBcGhNb2krlhox7Go00new,Achieva Credit Union,2201 Drew St,Clearwater,FL,33765,27.9675137,-82.7455343,2.5,9,1,"Banks & Credit Unions, Financial Services"
UloThY--fO-XHeoQ2Ha3Rg,American Momentum Bank,"4830 W Kennedy Blvd, Ste 155 , Ste 200",Tampa,PA,33609,27.9433074242,-82.5260336908,2.0,5,1,"Banks & Credit Unions, Financial Services"
fu1nhn2ARcgww-fdjwUvIQ,U.S. Bank Branch,4301 Lindell Blvd,St. Louis,FL,63108,38.6412873,-90.2507463,2.5,6,1,"Banks & Credit Unions, Financial Services, Mortgage Brokers, Financial Advising, Real Estate, Home Services"
0yirL_BZwywuACMaoDPAbQ,Chase Bank,7175 N Thornydale Rd,Tucson,IN,85741,32.336961,-111.047551,2.0,6,1,"Banks & Credit Unions, Financial Services"
066eypbbhakYjDnlCgiyXg,Vantage West Credit Union,550 W Magee Rd,Tucson,TN,85704,32.3525,-110.977969,2.0,9,1,"Banks & Credit Unions, Financial Services"
dMd8fhUmYYHT-9_rBCRBrA,Freedom Credit Union,"626 Jacksonville Rd, Ste 250",Warminster,FL,18974,40.1984747,-75.081282,2.0,18,0,"Financial Services, Banks & Credit Unions"
mrKLhyGt4trpoiA6Jn3I-g,U.S. Bank Branch,300 S Virginia St,Reno,PA,89501,39.5221280312,-119.8109861021,3.5,11,1,"Banks & Credit Unions, Financial Services, Home Services, Financial Advising, Real Estate, Mortgage Brokers"
pSP8Wu0AsORY1YQuTdgKxg,SunWest Credit Union,3615 N Campbell Ave,Tucson,DE,85719,32.2729465,-110.946136,5.0,5,1,"Financial Services, Banks & Credit Unions"
2Uomz5XjAeqr0-e_lFq60g,Td Bank,1130 Whitehorse Pike,Oaklyn,NJ,08107,39.8982492944,-75.0732671097,2.5,8,1,"Banks & Credit Unions, Financial Services"
OJAyVKXdfvlZv2AUuwuhMA,Louviers Federal Credit Union,2612 Kirkwood Hwy,Newark,TN,19711,39.705937,-75.684859,1.5,6,1,"Financial Services, Banks & Credit Unions"
LqFDW77RlVTHSS1qBEyq4A,TruMark Financial Credit Union,115 E Swedesford Rd,Wayne,NJ,19087,40.073275,-75.431559,3.0,5,1,"Financial Services, Financial Advising, Banks & Credit Unions"
8odPFY0FaBIYEC_ve4mhkg,First Republic Bank,1200 State St,Santa Barbara,NJ,93101,34.4236552814,-119.7044276846,5.0,8,1,"Financial Advising, Banks & Credit Unions, Mortgage Brokers, Financial Services, Home Services, Investing, Real Estate"
aUDHsv4J9BPxo5ZaYnoAKg,Chase Bank,18300 Wedge Pkwy,Reno,TN,89511,39.3936277572,-119.7661890379,4.0,10,1,"Banks & Credit Unions, Financial Services"
gGrL6O7HKyghr-gqKYePUQ,TD Bank,4020 E City Ave,Philadelphia,MO,19131,40.0078466,-75.2121057,3.0,9,1,"Financial Services, Banks & Credit Unions"
BBC30K3UjH1K4DLuF7dKhw,Republic Bank,399 Rte 70 E,Cherry Hill,CA,08034,39.91208,-75.002736,2.5,9,1,"Banks & Credit Unions, Financial Services"
